data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4591752,356,IND39691,39691,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (India)","Labour Group (India)",5,"Rioters (India)","Labour Group (India)",5,55,"Southern Asia",India,Karnataka,"Dakshina Kannada",Mangaluru,Mangaluru,12.9172,74.856,1,"The Hindu",National,"On November 7, in Mangaluru city (Dakshina Kannada, Karnataka), two groups of taxi drivers clashed over a proposed plan of not allowing online taxi operators to operate from the airport. Three people were injured from each group.",0,1552576435,IND
4591811,356,IND39693,39693,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)",,7,57,"Southern Asia",India,Manipur,"Imphal West",Imphal,Imphal,24.7908,93.9302,1,"The Sangai Express (India)",Subnational,"On November 7, family members vandalized a boarding house in Imphal city (Imphal West district, Manipur), after a 50 year old teacher was arrested on the charge of molesting a minor girl, who happens to stay at the hostel run by him.",0,1552576435,IND
4591759,356,IND39699,39699,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,"Tamil Nadu",Dindigul,Kodaikanal,Kodaikanal,10.2392,77.4893,1,"The Hindu",National,"On November 7, in Kodaikanal town (Dindigul, TN), a group of people clashed with each other and an intervening policeman during a screening of a controversial film. Four of the rioters were arrested.",0,1552576435,IND
4591809,356,IND39702,39702,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (India)","TMC: Trinamool Congress Party",5,"Civilians (India)","CPI(M): Communist Party of India (Marxist)",7,57,"Southern Asia",India,"West Bengal","North 24 Parganas",Amdanga,Baichhigachhi,22.8015,88.456,1,"Times of India",National,"On November 7, a CPM supporter's house was set on fire by suspected TMC workers in Dakshin Bahisgachhi village (North 24 Parganas district, West Bengal) over the issue of panchayat board formations. The victim or his family were not in the house during the attack.",0,1552576435,IND
4591763,524,NEP4581,4581,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (Nepal)","Vigilante Group (Nepal)",5,"Civilians (Nepal)",,7,57,"Southern Asia",Nepal,Far-Western,Seti,Kailali,Dhangadhi,28.7079,80.5961,2,INSEC,National,"On 7 Nov, in Kailali district (Seti), a woman was tortured again (first instance in March) by villagers over allegations of practicing witchcraft.",0,1552576435,NPL
4591764,524,NEP4582,4582,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (Nepal)",,5,"Rioters (Nepal)",,5,55,"Southern Asia",Nepal,Mid-Western,Bheri,Banke,Nepalgunj,28.0577,81.6244,2,"Nepal Monitor",National,"On 7 Nov, in Banke district (Bheri), during the festival of Tihar, a clash between two inebriated groups performing Deusi and Bhailo traditional songs occurred leaving 9 injured. The reason for the clash and weapons used is unknown.",0,1552576435,NPL
4591792,694,SIE4721,4721,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (Sierra Leone)","APC: All Peoples Congress",5,"Civilians (Sierra Leone)","SLPP: Sierra Leone Peoples Party",7,57,"Western Africa","Sierra Leone",Western,"Western Area Rural",Freetown3,Waterloo,8.3383,-13.0719,2,"Sierra Network",National,"07 November 2018: A house owned by SLPP was burned down by a group of APC supporters who came from Kenema.",0,1552576435,SLE
5108310,356,IND48555,48555,"07 November 2018",2018,1,Riots,"Mob violence","Rioters (India)","Hindu Group (India); BJYM: Bharatiya Janata Yuva Morcha; BJP: Bharatiya Janata Party",5,"Police Forces of India (2014-)","Civilians (India)",1,15,"Southern Asia",India,Kerala,Pathanamthitta,Ranni,Sabarimala,9.4356,77.0809,1,"Telegraph (India); The Hindu",National,"On 7 Nov 2018, in Sabarimala (Pathanamthitta, Kerala), a woman and her family were attacked by a large number of Sangh parivar activists under Sabarimala Karma Samithi who were blocking the entry of women into the Ayyappa temple. Police rescued the victims. The BJYM president and BJP member was also allegedly involved in the attack. The latter however, claimed that the victim had already written a statement that she was not attacked. [size=no report]",0,1554214561,IND
4591832,404,KEN6686,6686,"06 November 2018",2018,2,Riots,"Mob violence","Rioters (Kenya)","Fishermen (Kenya)",5,"Civilians (Kenya)","Government of Kenya (2013-)",7,57,"Eastern Africa",Kenya,Nakuru,Naivasha,"Lake View",Naivasha,-0.7202,36.4285,1,"Daily Nation (Kenya)",National,"On or after November 6th, fishermen set fire to a boat owned by the Beach Management Unit of Naivasha (Nakuru), accusing security officers of usinge excessive force against a fisherman on November 6th.",0,1552576435,KEN
4592017,788,TUN4194,4194,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (Tunisia)",,5,"Civilians (Tunisia)","Labour Group (Tunisia)",7,57,"Northern Africa",Tunisia,"Sidi Bou Zid","Sidi Ali Ben Aoun",,"Ben Bechir",34.8762,9.1605,2,Kapitalis,Subnational,"On November 6, the family of a victim killed in a traffic accident torched the transport bus of phosphate company which hit the vehicle of the victim in the area of Ben Bechir, between Sidi Ali Ben Aoun and Bir el Hafey.",0,1552576435,TUN
