data_id,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,notes
1,,2019,Violence Against Civilians,Attack, militants,,Civilian,,Southern Asia,India,Baramulla,Baramulla,Baramulla,Baramulla,,,"Suspected militants on Saturday shot dead a civilian in Baramulla district of Jammu and Kashmir, police said.The alleged terrorists fired upon Arjumand Majid Bhat at main town Baramulla in the north Kashmir district, a police officer said.Bhat was critically injured and taken to a hospital where he succumbed to his injuries."
2,,2019,Protest/Riot,Mob violence,Protesters,, land dispute,,Southern Asia,India,Jammu and Kashmir Police,Jammu and Kashmir Police,Jammu and Kashmir Police,Jammu and Kashmir Police,,,"As per the details available with Early Times, the issue behind the incident is said to be some land dispute involving the relative of the Head Constable.The reports said that after hearing about the forceful entry of the accused into the home of the relative of the victim, the victim cop rush to the spot to intervene as the accused was carrying the Sharp edge weapon and as soon as the police HC tried to proteKISHTWAR, Mar 30: A Head Constable of Jammu and Kashmir Police presently on leave identified as Asghar Ali Ahanger Son of Nazir Ahmed, posted in security wing Jammu was today evening assaulted by a Patwari identified as Jaffar Bhatt S/O Ghulam Mohammad Bhatt R/o Gudhali chowk Kishtwar presently posted ashalka patwar ""Bagna"" Kishtwar in which the head constable has received injuries."
3,,2019,Violence Against Civilians,Attack,Khan Srinagar,,Civilian,,Southern Asia,India,Srinagar,Srinagar,Srinagar,Srinagar,,,"Khan Srinagar, March 30 (GNS): Two youth, riding a motorcycle, were injured when army opened fire at them after they allegedly ignored a signal to stop at Bandzoo area of Pulwama in south Kashmir.A police officer said at around 18:15 hours, army signaled to stop a motorcyclist along with pillion at Bandzoo Pulwama.The motorcyclist ignored the signal and tried to flee from the spot after which army fired few gunshots due to which they suffered injuries."
4,,2019,Protest/Riot,Mob violence,Protesters,,  Sunday,,Southern Asia,India,Arunachal Pradesh,Nginu,Nginu,Nginu,26.835508,95.378311,"A BJP worker was killed on Sunday, allegedly by Naga insurgent group National Socialist Council of Nagaland (NSCN-IM) in poll-bound Arunachal Pradesh.Seliam Wangsa, a zila parishad member from Nginu block, had been campaigning in support of Honchun Ngandam, a BJP candidate from Pongchao-Wakka assembly constituency.Wangsa was killed at his residence in Nginu village near Wakka Circle in Longding district."
5,,2019,Violence Against Civilians,Attack, militants,,Civilian,,Southern Asia,India,Shopian,Shopian,Shopian,Shopian,,,"Suspected militants on Wednesday shot dead a civilian in Shopian district of Jammu and Kashmir, police said.Militants fired upon Tanveer Ahmad Dar, a resident of the Bemnipora area of south Kashmir's Shopian district, near Kachdoora village in the afternoon, a police official said."
6,,2019,Violence Against Civilians,Attack,agency PTI,,Civilian,,Southern Asia,India,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,28.6691565,77.45375779999999,"According to news agency PTI, the deceased, identified as Shabbir Zaidi was fired upon by the attackers when he was out for a morning walk in Uttaranchal Vihar colony of Loni town around 6:15 am, police said.The assailants physically assaulted Zaidi and then fired bullets into his head and stomach, Superintendent of Police (Rural) Neeraj Kumar Jadaun said, citing property dispute as the reason of the attack.Ghaziabad: A Bahujan Samaj Party (BSP) worker was on Tuesday shot dead by unidentified miscreants in Uttar Pradesh's Ghaziabad district."
7,,2019,Protest/Riot,Mob violence,Protesters,,  death,,Southern Asia,India,Odisha,Kendujhar,Dhakotha,Dhakotha,21.3180017,86.0797199,"Former chairman of Anandpur block and independent MLA candidate in the 2014 assembly election from Ghasipura Ramachandra Behera was hacked to death by a group of miscreants at Dhakotha village on Monday late night.Sources said, more than 10 miscreants arrived at the residence of Behera at about 10.30 pm and asked him to open the door.He was supposed to join BJD along with his supporters on Tuesday."
